
::  brazilian-cars 

Atenção! Esta aplicação é apenas uma ferramenta de apoio ao desenvolvedor e não deve ser usada no ambiente de produção!

+----------+---------+-------------------------------- ACURA -----------------------+-------+----------+----------+
| Id       | Family  | Name                                                         | Year  | Fuel     | Model Id |
+----------+---------+--------------------------------------------------------------+-------+----------+----------+
| 119921   | Integra | Integra GS 1.8                                               | 1992  | Gasolina | 1        |
| 119911   | Integra | Integra GS 1.8                                               | 1991  | Gasolina | 1        |
| 219981   | Legend  | Legend 3.2/3.5                                               | 1998  | Gasolina | 2        |
| 219971   | Legend  | Legend 3.2/3.5                                               | 1997  | Gasolina | 2        |
| 219961   | Legend  | Legend 3.2/3.5                                               | 1996  | Gasolina | 2        |
| 219951   | Legend  | Legend 3.2/3.5                                               | 1995  | Gasolina | 2        |
| 219941   | Legend  | Legend 3.2/3.5                                               | 1994  | Gasolina | 2        |
| 219931   | Legend  | Legend 3.2/3.5                                               | 1993  | Gasolina | 2        |
| 219921   | Legend  | Legend 3.2/3.5                                               | 1992  | Gasolina | 2        |
| 219911   | Legend  | Legend 3.2/3.5                                               | 1991  | Gasolina | 2        |
| 319951   | NSX     | NSX 3.0                                                      | 1995  | Gasolina | 3        |
| 319941   | NSX     | NSX 3.0                                                      | 1994  | Gasolina | 3        |
| 319931   | NSX     | NSX 3.0                                                      | 1993  | Gasolina | 3        |
| 319921   | NSX     | NSX 3.0                                                      | 1992  | Gasolina | 3        |
| 319911   | NSX     | NSX 3.0                                                      | 1991  | Gasolina | 3        |
+----------+---------+-------------------------------- ACURA -----------------------+-------+----------+----------+



+-----------+--------+------------------------------- AGRALE -----------------------+-------+----------+----------+
| Id        | Family | Name                                                         | Year  | Fuel     | Model Id |
+-----------+--------+--------------------------------------------------------------+-------+----------+----------+
| 420073    | MARRUÁ | MARRUÁ 2.8 12V 132cv TDI Diesel                              | 2007  | Diesel   | 4        |
| 420063    | MARRUÁ | MARRUÁ 2.8 12V 132cv TDI Diesel                              | 2006  | Diesel   | 4        |
| 420053    | MARRUÁ | MARRUÁ 2.8 12V 132cv TDI Diesel                              | 2005  | Diesel   | 4        |
| 420043    | MARRUÁ | MARRUÁ 2.8 12V 132cv TDI Diesel                              | 2004  | Diesel   | 4        |
| 456420153 | MARRUÁ | MARRUÁ AM 100 2.8  CS TDI Diesel                             | 2015  | Diesel   | 4564     |
| 456420143 | MARRUÁ | MARRUÁ AM 100 2.8  CS TDI Diesel                             | 2014  | Diesel   | 4564     |
| 456420133 | MARRUÁ | MARRUÁ AM 100 2.8  CS TDI Diesel                             | 2013  | Diesel   | 4564     |
| 456420123 | MARRUÁ | MARRUÁ AM 100 2.8  CS TDI Diesel                             | 2012  | Diesel   | 4564     |
| 456420113 | MARRUÁ | MARRUÁ AM 100 2.8  CS TDI Diesel                             | 2011  | Diesel   | 4564     |
| 456420103 | MARRUÁ | MARRUÁ AM 100 2.8  CS TDI Diesel                             | 2010  | Diesel   | 4564     |
| 456420093 | MARRUÁ | MARRUÁ AM 100 2.8  CS TDI Diesel                             | 2009  | Diesel   | 4564     |
| 456420083 | MARRUÁ | MARRUÁ AM 100 2.8  CS TDI Diesel                             | 2008  | Diesel   | 4564     |
